cycle|instructions|events|atoms|bonds|delivered|error
123|part-10:rotate_ccw,part-8:drop|atoms-dropped|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
124|part-10:track_plus,part-8:rotate_cw|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
125|part-10:track_plus,part-8:rotate_cw|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
126|part-10:retract,part-8:grab|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
127|part-8:extend|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
128|part-1:drop,part-8:drop|van-berlo-payload-dropped|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
129|part-8:rotate_ccw|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
130|part-8:retract|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
131|part-8:grab|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
132|part-8:rotate_ccw|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
